GEOID,Male_total,Female_total,%AGE_MALE_YNG,%AGE_MALE_MID,%AGE_MALE_OLD,%AGE_MALE_YOUNG,%AGE_MALE_OLDER,%AGE_FEMALE_YNG,%AGE_FEMALE_MID,%AGE_FEMALE_OLD,%AGE_FEMALE_YOUNG,%AGE_FEMALE_OLDER,%RACE_White,%RACE_Black,%RACE_Latino,%RACE_Native,%RACE_Asian,%RACE_HI_PI,%RACE_Other,%RACE_Mixed,%RACE_NonWhite,%RACE_BAO,%RACE_LNHM,%REL_OP_SEX_MAR,%REL_OP_SEX_UNMAR,%REL_S_SEX_MAR,%REL_S_SEX_UNMAR,%REL_W_RELATIVES,%REL_NON_REL,%REL_MALE_JAILED,%REL_FEMALE_JAILED,%REL_MALE_GRP_DORM,%REL_FEMALE_GRP_DORM,%HH_MARRIED,%HH_MAR_W_KIDS,%HH_NOT_MAR,%HH_NOT_MAR_W_KIDS,%HH_MALE_ALONE,%HH_MALE_65+,%HH_MALE_W_KIDS,%HH_FEMALE_ALONE,%HH_FEMALE_65+,%HH_FEMALE_W_KIDS,%OWN_HOME,%Urban_pop,PARTY_WIN,PARTY_LEAD
26105,14414,14638,22.96,16.6,39.8,33.56,45.8,27.02,11.0,43.0,38.02,43.0,89.3,0.6,4.4,0.8,0.5,0.0,0.3,4.1,10.7,1.4,9.3,21.1,3.0,0.1,0.1,2.5,2.6,0.3,0.5,0.3,0.2,50.2,13.7,7.4,2.7,14.4,5.8,1.3,15.5,9.5,3.1,78.1,40.9,0,-0.2
26107,19560,20154,29.97,15.3,34.0,39.87,39.4,34.86,10.5,35.2,45.36,35.2,89.4,1.9,2.6,0.5,0.8,0.0,0.3,4.4,10.5,3.0,7.5,18.9,3.1,0.1,0.1,2.5,5.9,0.3,0.3,0.6,1.4,47.3,14.0,8.1,2.9,14.0,4.7,1.3,15.3,8.1,3.8,73.7,25.52,0,-0.28
26109,12021,11481,22.35,17.3,41.1,33.05,47.7,26.32,11.6,44.4,37.92,44.4,90.7,0.4,2.1,3.1,0.4,0.0,0.1,3.1,9.2,0.9,8.3,20.9,3.1,0.1,0.1,2.0,2.0,0.5,0.6,0.3,0.2,46.1,11.7,7.1,2.7,18.3,6.7,1.8,15.8,9.6,3.1,77.8,36.83,0,-0.3
26111,41273,42221,26.99,18.1,32.2,38.39,38.9,30.76,12.6,36.1,43.36,36.1,88.4,1.1,3.2,0.4,2.0,0.1,0.4,4.4,11.6,3.5,8.1,21.4,2.8,0.1,0.1,2.0,2.3,0.4,0.5,0.2,0.2,52.4,18.4,7.2,2.4,12.1,3.8,1.4,15.6,8.5,3.5,76.6,56.78,0,-0.15
26113,7659,7393,23.65,16.5,37.2,33.95,43.4,28.14,11.3,37.8,39.44,37.8,92.6,0.2,3.3,0.3,0.3,0.0,0.2,3.1,7.4,0.7,6.7,21.3,2.9,0.0,0.0,2.7,2.8,0.2,0.2,0.4,0.2,54.5,17.1,7.6,3.0,13.3,4.9,1.6,11.5,6.9,3.0,82.3,0.0,0,-0.53
26115,77207,77602,26.75,19.3,32.5,39.05,39.5,30.8,13.2,35.2,44.0,35.2,87.4,2.6,4.0,0.3,0.6,0.0,0.3,4.7,12.5,3.5,9.0,20.2,2.9,0.1,0.1,2.5,2.2,0.4,0.3,0.2,0.1,50.7,16.6,7.5,2.7,13.4,4.2,1.5,13.4,7.7,3.9,77.9,62.28,0,-0.23
26117,35581,31033,28.93,20.4,30.2,42.33,37.2,30.93,12.1,34.3,43.03,34.3,88.4,3.2,4.0,0.3,0.3,0.0,0.2,3.5,11.5,3.7,7.8,18.3,3.1,0.1,0.1,2.6,2.7,7.4,0.6,0.4,0.2,50.7,16.4,8.7,3.6,12.8,4.2,1.7,12.7,7.3,4.1,80.3,15.41,0,-0.38
26119,4723,4430,17.31,14.8,52.1,26.31,57.9,21.25,10.8,53.3,32.05,53.3,93.4,0.1,1.4,0.7,0.3,0.0,0.4,3.7,6.6,0.8,5.8,22.4,3.2,0.2,0.0,2.7,2.2,0.2,0.1,0.1,0.1,47.7,9.5,7.2,2.4,19.1,9.3,0.9,14.5,8.9,1.9,86.1,0.0,0,-0.43
26121,87661,88163,27.78,18.6,30.8,39.98,37.2,32.07,11.7,34.3,43.77,34.3,74.0,13.4,5.8,0.6,0.6,0.0,0.3,5.1,25.8,14.3,11.5,17.2,3.1,0.1,0.1,3.2,2.9,2.5,0.3,0.2,0.3,44.4,14.5,8.3,3.3,13.1,4.3,1.8,15.1,8.4,6.1,75.1,73.99,1,0.01
26123,25198,24780,24.71,17.4,35.5,36.01,41.6,28.8,11.8,36.7,40.6,36.7,87.9,0.8,5.9,0.5,0.4,0.0,0.3,4.2,12.1,1.5,10.6,20.5,2.9,0.1,0.1,3.0,2.9,0.7,0.4,0.1,0.1,52.9,16.4,7.7,2.8,13.3,5.2,1.7,12.1,7.1,3.5,83.3,10.33,0,-0.4
