GEOID,Pop_Urban,Pop_Rural,%Urban_pop
42051,57826,70978,44.89
42053,0,6973,0.0
42055,86571,69361,55.52
42057,0,14556,0.0
42059,8754,27200,24.35
42061,11311,32781,25.65
42063,33430,49816,40.16
42065,11804,32688,26.53
42067,0,23509,0.0
42069,178000,37896,82.45
42071,398837,154147,72.12
42073,49559,36511,57.58
42075,106890,36367,74.61
42077,337596,36961,90.13
42079,253239,72355,77.78
42081,68012,46176,59.56
42083,11163,29269,27.61
42085,57601,53051,52.06
42087,20999,25144,45.51
42089,72784,95543,43.24
42091,827974,28579,96.66
42093,8291,9845,45.72
42095,260194,52757,83.14
42097,59333,32314,64.74
42099,2972,42870,6.48
42101,1603797,0,100.0
42103,7473,51062,12.77
42105,0,16396,0.0
42107,75723,67326,52.94
42109,11783,27953,29.65
42111,16607,57522,22.4
42113,0,5840,0.0
42115,0,38434,0.0
42117,0,41045,0.0
42119,15706,26975,36.8
42121,22166,28288,43.93
42123,14668,23919,38.01
42125,141659,67690,67.67
42127,7051,44104,13.78
42129,260739,93924,73.52
42131,1219,24850,4.68
42133,326551,129887,71.54
44001,50219,574,98.87
44003,158013,12350,92.75
44005,78361,7282,91.5
44007,626426,34315,94.81
44009,86172,43667,66.37
45001,5107,19188,21.02
45003,106316,62492,62.98
45005,0,8039,0.0
45007,118856,84862,58.34
45009,0,13311,0.0
45011,0,20589,0.0
45013,152311,34806,81.4
45015,179131,50730,77.93
45017,0,14119,0.0
45019,371249,36986,90.94
45021,19042,37174,33.87
45023,8611,23683,26.66
45025,7284,35989,16.83
45027,4522,26622,14.52
45029,9229,29375,23.91
45031,26977,35928,42.89
45033,8484,19808,29.99
45035,137764,23776,85.28
45037,3083,22574,12.02
45039,4759,16189,22.72
45041,83320,53739,60.79
45043,36656,26748,57.81
45045,463016,62518,88.1
45047,41831,27520,60.32
45049,0,18561,0.0
45051,265294,85735,75.58
45053,3124,25667,10.85
45055,30862,34541,47.19
45057,59591,36425,62.06
45059,24300,43239,35.98
45061,0,16531,0.0
45063,220039,73952,74.85
45065,0,9526,0.0
45067,11933,17250,40.89
45069,9271,17396,34.77
45071,12342,25377,32.72
45073,28497,50110,36.25
45075,29072,55151,34.52
45077,82050,49354,62.44
45079,380532,35615,91.44
45081,270,18592,1.43
45083,231188,96809,70.48
45085,68825,36731,65.2
45087,9729,17515,35.71
45089,5250,25776,16.92
45091,218152,63938,77.33
46003,0,2747,0.0
46005,14294,4855,74.65
46007,0,3381,0.0
46009,0,7003,0.0
46011,23674,10701,68.87
46013,27982,10319,73.06
46015,0,5247,0.0
46017,0,1948,0.0
46019,5089,5154,49.68
46021,0,1377,0.0
46023,0,9373,0.0
46025,0,3837,0.0
46027,11659,3308,77.9
46029,20643,7682,72.88
46031,0,3902,0.0
46033,0,8318,0.0
46035,15690,4266,78.62
46037,0,5449,0.0
46039,0,4295,0.0
46041,0,5239,0.0
46043,0,2835,0.0
46045,0,3986,0.0
