GEOID,TOTAL_VOTES,DEM_VOTES,DEM_SHARE,REP_VOTES,REP_SHARE,THRD_VOTES,THRD_SHARE,PARTY_WIN,PARTY_LEAD, 
55089,61486,26517,43.13,33912,55.15,1057,1.72,0,-0.12,
55091,4144,1489,35.93,2584,62.36,71,1.71,0,-0.26,
55093,23317,9796,42.01,12815,54.96,706,3.03,0,-0.13,
55095,26371,9370,35.53,16611,62.99,390,1.48,0,-0.27,
55097,40603,20428,50.31,19299,47.53,876,2.16,1,0.03,
55099,8546,3032,35.48,5394,63.12,120,1.4,0,-0.28,
55101,106451,50159,47.12,54479,51.18,1813,1.7,0,-0.04,
55103,9014,3995,44.32,4871,54.04,148,1.64,0,-0.1,
55105,85360,46658,54.66,37138,43.51,1564,1.83,1,0.11,
55107,7886,2517,31.92,5257,66.66,112,1.42,0,-0.35,
55109,56707,23190,40.89,32199,56.78,1318,2.32,0,-0.16,
55111,36203,18108,50.02,17493,48.32,602,1.66,1,0.02,
55113,10510,4498,42.8,5909,56.22,103,0.98,0,-0.13,
55115,22615,7131,31.53,15173,67.09,311,1.38,0,-0.36,
55117,66011,27101,41.06,37609,56.97,1301,1.97,0,-0.16,
55119,10686,2693,25.2,7657,71.65,336,3.14,0,-0.46,
55121,15380,6285,40.86,8833,57.43,262,1.7,0,-0.17,
55123,15923,7457,46.83,8218,51.61,248,1.56,0,-0.05,
55125,15369,5903,38.41,9261,60.26,205,1.33,0,-0.22,
55127,57600,22789,39.56,33851,58.77,960,1.67,0,-0.19,
55129,10378,3867,37.26,6334,61.03,177,1.71,0,-0.24,
55131,88070,26650,30.26,60237,68.4,1183,1.34,0,-0.38,
55133,267996,103906,38.77,159649,59.57,4441,1.66,0,-0.21,
55135,29130,9703,33.31,18952,65.06,475,1.63,0,-0.32,
55137,13568,4388,32.34,9016,66.45,164,1.21,0,-0.34,
55139,94032,44060,46.86,47796,50.83,2176,2.31,0,-0.04,
55141,41298,16365,39.63,24308,58.86,625,1.51,0,-0.19,
56001,18744,9092,48.51,8579,45.77,1073,5.72,1,0.03,
56003,5784,788,13.62,4806,83.09,190,3.28,0,-0.69,
56005,19735,1935,9.8,16975,86.01,825,4.18,0,-0.76,
56007,6706,1427,21.28,5014,74.77,265,3.95,0,-0.53,
56009,7010,861,12.28,5917,84.41,232,3.31,0,-0.72,
56011,4143,378,9.12,3651,88.12,114,2.75,0,-0.79,
56013,18234,5519,30.27,12007,65.85,708,3.88,0,-0.36,
56015,6272,1203,19.18,4878,77.77,191,3.05,0,-0.59,
56017,2588,482,18.62,1999,77.24,107,4.13,0,-0.59,
56019,4952,897,18.11,3881,78.37,174,3.51,0,-0.6,
56021,45237,15217,33.64,27891,61.66,2129,4.71,0,-0.28,
56023,10525,1509,14.34,8643,82.12,373,3.54,0,-0.68,
56025,35391,8530,24.1,25271,71.41,1590,4.49,0,-0.47,
56027,1322,155,11.72,1118,84.57,49,3.71,0,-0.73,
56029,16815,3410,20.28,12813,76.2,592,3.52,0,-0.56,
56031,4963,890,17.93,3898,78.54,175,3.53,0,-0.61,
56033,16546,4043,24.43,11843,71.58,660,3.99,0,-0.47,
56035,5000,882,17.64,3957,79.14,161,3.22,0,-0.61,
56037,16698,3823,22.89,12229,73.24,646,3.87,0,-0.5,
56039,14787,9848,66.6,4341,29.36,598,4.04,1,0.37,
56041,9459,1591,16.82,7496,79.25,372,3.93,0,-0.62,
56043,4032,651,16.15,3245,80.48,136,3.37,0,-0.64,
56045,3560,360,10.11,3107,87.28,93,2.61,0,-0.77,
6001,769864,617659,80.23,136309,17.71,15896,2.06,1,0.63,
6003,741,476,64.24,244,32.93,21,2.83,1,0.31,
6005,22302,8153,36.56,13585,60.91,564,2.53,0,-0.24,
6007,102541,50815,49.56,48819,47.61,2907,2.83,1,0.02,
6009,27164,10046,36.98,16518,60.81,600,2.21,0,-0.24,
6011,7961,3239,40.69,4559,57.27,163,2.05,0,-0.17,
6013,581230,416386,71.64,152877,26.3,11967,2.06,1,0.45,
6015,11452,4677,40.84,6461,56.42,314,2.74,0,-0.16,
6017,116138,51621,44.45,61838,53.25,2679,2.31,0,-0.09,
6019,364809,193025,52.91,164464,45.08,7320,2.01,1,0.08,
6021,11292,3995,35.38,7063,62.55,234,2.07,0,-0.27,
6023,68828,44768,65.04,21770,31.63,2290,3.33,1,0.33,
6025,56718,34678,61.14,20847,36.76,1193,2.1,1,0.24,
6027,9481,4634,48.88,4620,48.73,227,2.39,1,0,
6029,305226,133366,43.69,164484,53.89,7376,2.42,0,-0.1,
6031,43858,18699,42.64,24072,54.89,1087,2.48,0,-0.12,
6033,28800,14941,51.88,13123,45.57,736,2.56,1,0.06,
6035,11985,2799,23.35,8970,74.84,216,1.8,0,-0.51,
6037,4263443,3028885,71.04,1145530,26.87,89028,2.09,1,0.44,
6039,53722,23168,43.13,29378,54.69,1176,2.19,0,-0.12,
6041,155801,128288,82.34,24612,15.8,2901,1.86,1,0.67,
6043,10280,4088,39.77,5950,57.88,242,2.35,0,-0.18,
6045,43336,28782,66.42,13267,30.61,1287,2.97,1,0.36,
6047,90541,48991,54.11,39397,43.51,2153,2.38,1,0.11,
6049,4338,1150,26.51,3109,71.67,79,1.82,0,-0.45,
6051,6737,4013,59.57,2513,37.3,211,3.13,1,0.22,
6053,163883,113953,69.53,46299,28.25,3631,2.22,1,0.41,
6055,72122,49817,69.07,20676,28.67,1629,2.26,1,0.4,
6057,64738,36359,56.16,26779,41.37,1600,2.47,1,0.15,
6059,1521725,814009,53.49,676498,44.46,31218,2.05,1,0.09,
6061,235017,106869,45.47,122488,52.12,5660,2.41,0,-0.07,
6063,11256,4561,40.52,6445,57.26,250,2.22,0,-0.17,
6065,997007,528340,52.99,449144,45.05,19523,1.96,1,0.08,
6067,718290,440808,61.37,259405,36.11,18077,2.52,1,0.25,
6069,28821,17628,61.16,10590,36.74,603,2.09,1,0.24,
6071,840931,455859,54.21,366257,43.55,18815,2.24,1,0.11,
6073,1601722,964650,60.23,600094,37.47,36978,2.31,1,0.23,
