GEOID,TOTAL_VOTES,DEM_VOTES,DEM_SHARE,REP_VOTES,REP_SHARE,THRD_VOTES,THRD_SHARE,PARTY_WIN,PARTY_LEAD, 
5091,16529,4245,25.68,11920,72.12,364,2.2,0,-0.46,
5093,12342,4558,36.93,7296,59.12,488,3.95,0,-0.22,
5095,2816,1147,40.73,1545,54.87,124,4.4,0,-0.14,
5097,3873,731,18.87,3046,78.65,96,2.48,0,-0.6,
5099,3358,1076,32.04,2133,63.52,149,4.44,0,-0.31,
5101,3998,709,17.73,3192,79.84,97,2.43,0,-0.62,
5103,9629,3995,41.49,5294,54.98,340,3.53,0,-0.13,
5105,4627,1012,21.87,3479,75.19,136,2.94,0,-0.53,
5107,6242,3623,58.04,2417,38.72,202,3.24,1,0.19,
5109,4246,644,15.17,3519,82.88,83,1.95,0,-0.68,
5111,7521,1424,18.93,5918,78.69,179,2.38,0,-0.6,
5113,8490,1246,14.68,7035,82.86,209,2.46,0,-0.68,
5115,24432,5772,23.62,18081,74.01,579,2.37,0,-0.5,
5117,3495,654,18.71,2786,79.71,55,1.57,0,-0.61,
5119,169956,101947,59.98,63687,37.47,4322,2.54,1,0.23,
5121,6812,1215,17.84,5355,78.61,242,3.55,0,-0.61,
5123,7108,3604,50.7,3242,45.61,262,3.69,1,0.05,
5125,56959,16060,28.2,39556,69.45,1343,2.36,0,-0.41,
5127,3551,483,13.6,2962,83.41,106,2.99,0,-0.7,
5129,4019,588,14.63,3365,83.73,66,1.64,0,-0.69,
5131,47140,14487,30.73,31198,66.18,1455,3.09,0,-0.35,
5133,5202,1116,21.45,3884,74.66,202,3.88,0,-0.53,
5135,7566,1398,18.48,5938,78.48,230,3.04,0,-0.6,
5137,5938,1180,19.87,4616,77.74,142,2.39,0,-0.58,
5139,16607,5584,33.62,10478,63.09,545,3.28,0,-0.29,
5141,7807,1593,20.4,6034,77.29,180,2.31,0,-0.57,
5143,94266,43824,46.49,47504,50.39,2938,3.12,0,-0.04,
5145,30885,5978,19.36,24182,78.3,725,2.35,0,-0.59,
5147,2476,856,34.57,1543,62.32,77,3.11,0,-0.28,
5149,6741,1284,19.05,5226,77.53,231,3.43,0,-0.58,
8001,236740,134202,56.69,95657,40.41,6881,2.91,1,0.16,
8003,7808,3759,48.14,3813,48.83,236,3.02,0,-0.01,
8005,350183,213607,61,127323,36.36,9253,2.64,1,0.25,
8007,9144,3738,40.88,5189,56.75,217,2.37,0,-0.16,
8009,2225,317,14.25,1867,83.91,41,1.84,0,-0.7,
8011,2274,732,32.19,1503,66.09,39,1.72,0,-0.34,
8013,206111,159089,77.19,42501,20.62,4521,2.19,1,0.57,
8014,46632,29077,62.35,16295,34.94,1260,2.7,1,0.27,
8015,13718,7160,52.19,6222,45.36,336,2.45,1,0.07,
8017,1136,131,11.53,993,87.41,12,1.06,0,-0.76,
8019,6548,3604,55.04,2754,42.06,190,2.9,1,0.13,
8021,4333,1959,45.21,2286,52.76,88,2.03,0,-0.08,
8023,2094,1311,62.61,741,35.39,42,2.01,1,0.27,
8025,1750,437,24.97,1271,72.63,42,2.4,0,-0.48,
8027,3635,1112,30.59,2474,68.06,49,1.35,0,-0.37,
8029,19370,5887,30.39,13081,67.53,402,2.08,0,-0.37,
8031,393829,313293,79.55,71618,18.19,8918,2.26,1,0.61,
8033,1449,341,23.53,1089,75.16,19,1.31,0,-0.52,
8035,231605,104653,45.19,121270,52.36,5682,2.45,0,-0.07,
8037,29140,18588,63.79,9892,33.95,660,2.26,1,0.3,
8039,18983,4490,23.65,14027,73.89,466,2.45,0,-0.5,
8041,378851,161941,42.75,202828,53.54,14082,3.72,0,-0.11,
8043,25557,7369,28.83,17517,68.54,671,2.63,0,-0.4,
8045,30904,15427,49.92,14717,47.62,760,2.46,1,0.02,
8047,4186,2223,53.11,1833,43.79,130,3.11,1,0.09,
8049,9870,4710,47.72,4883,49.47,277,2.81,0,-0.02,
8051,11190,7132,63.74,3735,33.38,323,2.89,1,0.3,
8053,632,255,40.35,353,55.85,24,3.8,0,-0.15,
8055,4406,2076,47.12,2203,50,127,2.88,0,-0.03,
8057,876,175,19.98,681,77.74,20,2.28,0,-0.58,
8059,377358,218396,57.88,148417,39.33,10545,2.79,1,0.19,
8061,903,98,10.85,795,88.04,10,1.11,0,-0.77,
8063,3871,662,17.1,3144,81.22,65,1.68,0,-0.64,
8065,3961,2303,58.14,1497,37.79,161,4.06,1,0.2,
8067,35667,20548,57.61,14233,39.91,886,2.48,1,0.18,
8069,224338,126120,56.22,91489,40.78,6729,3,1,0.15,
8071,7961,3497,43.93,4284,53.81,180,2.26,0,-0.1,
8073,2651,470,17.73,2135,80.54,46,1.74,0,-0.63,
8075,10532,2218,21.06,8087,76.79,227,2.16,0,-0.56,
8077,90623,31536,34.8,56894,62.78,2193,2.42,0,-0.28,
8079,756,317,41.93,427,56.48,12,1.59,0,-0.15,
8081,7026,1203,17.12,5670,80.7,153,2.18,0,-0.64,
8083,15500,5836,37.65,9306,60.04,358,2.31,0,-0.22,
8085,24922,7687,30.84,16770,67.29,465,1.87,0,-0.36,
8087,13744,3876,28.2,9593,69.8,275,2,0,-0.42,
8089,9576,3605,37.65,5756,60.11,215,2.25,0,-0.22,
8091,4020,2365,58.83,1577,39.23,78,1.94,1,0.2,
8093,12291,4903,39.89,6991,56.88,397,3.23,0,-0.17,
8095,2485,486,19.56,1958,78.79,41,1.65,0,-0.59,
8097,11957,8989,75.18,2780,23.25,188,1.57,1,0.52,
8099,5561,1458,26.22,4008,72.07,95,1.71,0,-0.46,
8101,88301,43772,49.57,42252,47.85,2277,2.58,1,0.02,
8103,3691,561,15.2,3061,82.93,69,1.87,0,-0.68,
8105,6305,2495,39.57,3660,58.05,150,2.38,0,-0.18,
8107,16876,10582,62.7,5925,35.11,369,2.19,1,0.28,
8109,3389,1884,55.59,1413,41.69,92,2.71,1,0.14,
8111,562,342,60.85,202,35.94,18,3.2,1,0.25,
8113,5147,3924,76.24,1136,22.07,87,1.69,1,0.54,
8115,1446,301,20.82,1121,77.52,24,1.66,0,-0.57,
8117,18479,12631,68.35,5322,28.8,526,2.85,1,0.4,
8119,16939,5278,31.16,11241,66.36,420,2.48,0,-0.35,
8121,3008,369,12.27,2595,86.27,44,1.46,0,-0.74,
8123,166974,66060,39.56,96145,57.58,4769,2.86,0,-0.18,
8125,4981,785,15.76,4107,82.45,89,1.79,0,-0.67,
9001,472396,297505,62.98,168445,35.66,6446,1.36,1,0.27,
9003,449336,283368,63.06,159024,35.39,6944,1.55,1,0.28,
9005,107544,50164,46.65,55601,51.7,1779,1.65,0,-0.05,
9007,99198,56848,57.31,40665,40.99,1685,1.7,1,0.16,
9009,417980,242629,58.05,169892,40.65,5459,1.31,1,0.17,
9011,139604,79459,56.92,57110,40.91,3035,2.17,1,0.16,
9013,80546,44006,54.63,34819,43.23,1721,2.14,1,0.11,
9015,57077,26701,46.78,29141,51.06,1235,2.16,0,-0.04,
10001,87025,44552,51.19,41009,47.12,1464,1.68,1,0.04,
10003,287633,195034,67.81,88364,30.72,4235,1.47,1,0.37,
10005,129352,56682,43.82,71230,55.07,1440,1.11,0,-0.11,
11001,344356,317323,92.15,18586,5.4,8447,2.45,1,0.87,
12001,143633,89704,62.45,50972,35.49,2957,2.06,1,0.27,
12003,14134,2037,14.41,11911,84.27,186,1.32,0,-0.7,
12005,93504,25614,27.39,66097,70.69,1793,1.92,0,-0.43,
12007,13699,3160,23.07,10334,75.44,205,1.5,0,-0.52,
12009,363124,148549,40.91,207883,57.25,6692,1.84,0,-0.16,
12011,964444,618752,64.16,333409,34.57,12283,1.27,1,0.3,
12013,6564,1209,18.42,5274,80.35,81,1.23,0,-0.62,
12015,116990,42273,36.13,73243,62.61,1474,1.26,0,-0.26,
12017,93727,27092,28.91,65352,69.73,1283,1.37,0,-0.41,
12019,125056,38317,30.64,84480,67.55,2259,1.81,0,-0.37,
12021,209352,77621,37.08,128950,61.59,2781,1.33,0,-0.25,
12023,33262,8914,26.8,23836,71.66,512,1.54,0,-0.45,
12027,12731,4259,33.45,8313,65.3,159,1.25,0,-0.32,
12029,8206,1365,16.63,6759,82.37,82,1,0,-0.66,
12031,495840,252556,50.93,233762,47.14,9522,1.92,1,0.04,
12033,171640,70929,41.32,96674,56.32,4037,2.35,0,-0.15,
12035,72224,28161,38.99,43043,59.6,1020,1.41,0,-0.21,
12037,6899,2120,30.73,4675,67.76,104,1.51,0,-0.37,
12039,23920,16153,67.53,7465,31.21,302,1.26,1,0.36,
12041,9750,1700,17.44,7895,80.97,155,1.59,0,-0.64,
12043,5222,1385,26.52,3782,72.42,55,1.05,0,-0.46,
12045,8209,1985,24.18,6113,74.47,111,1.35,0,-0.5,
12047,5870,1963,33.44,3815,64.99,92,1.57,0,-0.32,
12049,8558,2298,26.85,6122,71.54,138,1.61,0,-0.45,
12051,13009,4929,37.89,7906,60.77,174,1.34,0,-0.23,
12053,109862,37519,34.15,70412,64.09,1931,1.76,0,-0.3,
12055,52472,16938,32.28,34873,66.46,661,1.26,0,-0.34,
12057,717302,376367,52.47,327398,45.64,13537,1.89,1,0.07,
12059,9117,924,10.13,8080,88.63,113,1.24,0,-0.79,
12061,98192,37844,38.54,58872,59.96,1476,1.5,0,-0.21,
12063,22560,6766,29.99,15488,68.65,306,1.36,0,-0.39,
12065,8515,3897,45.77,4479,52.6,139,1.63,0,-0.07,
12067,3685,510,13.84,3128,84.88,47,1.28,0,-0.71,
12069,212505,83505,39.3,125859,59.23,3141,1.48,0,-0.2,
12071,395912,157695,39.83,233247,58.91,4970,1.26,0,-0.19,
12073,164233,103517,63.03,57453,34.98,3263,1.99,1,0.28,
12075,23309,6205,26.62,16749,71.86,355,1.52,0,-0.45,
12077,3577,694,19.4,2846,79.56,37,1.03,0,-0.6,
12079,9440,3747,39.69,5576,59.07,117,1.24,0,-0.19,
12081,218317,90166,41.3,124987,57.25,3164,1.45,0,-0.16,
12083,205540,74858,36.42,127826,62.19,2856,1.39,0,-0.26,
12085,99383,36893,37.12,61168,61.55,1322,1.33,0,-0.24,
12086,1166203,617864,52.98,532833,45.69,15506,1.33,1,0.07,
12087,48304,21876,45.29,25683,53.17,745,1.54,0,-0.08,
12089,59112,15564,26.33,42566,72.01,982,1.66,0,-0.46,
12091,117124,34248,29.24,79798,68.13,3078,2.63,0,-0.39,
12093,16037,4390,27.37,11470,71.52,177,1.1,0,-0.44,
12095,653106,395014,60.48,245398,37.57,12694,1.94,1,0.23,
12097,173695,97297,56.02,73480,42.3,2918,1.68,1,0.14,
12099,778201,433572,55.71,334711,43.01,9918,1.27,1,0.13,
12101,303800,119073,39.19,179621,59.12,5106,1.68,0,-0.2,
12103,564284,277450,49.17,276209,48.95,10625,1.88,1,0,
12105,345580,145049,41.97,194586,56.31,5945,1.72,0,-0.14,
12107,36515,10527,28.83,25514,69.87,474,1.3,0,-0.41,
12109,177664,63850,35.94,110946,62.45,2868,1.61,0,-0.27,
12111,173488,84137,48.5,86831,50.05,2520,1.45,0,-0.02,
12113,107460,27612,25.7,77385,72.01,2463,2.29,0,-0.46,
12115,272368,120110,44.1,148370,54.47,3888,1.43,0,-0.1,
12117,262792,132524,50.43,125236,47.66,5032,1.91,1,0.03,
12119,92923,29341,31.58,62761,67.54,821,0.88,0,-0.36,
12121,21145,4485,21.21,16410,77.61,250,1.18,0,-0.56,
12123,10189,2299,22.56,7751,76.07,139,1.36,0,-0.54,
12125,6281,1053,16.76,5133,81.72,95,1.51,0,-0.65,
12127,309367,130575,42.21,173821,56.19,4971,1.61,0,-0.14,
12129,18513,5351,28.9,12874,69.54,288,1.56,0,-0.41,
12131,43902,10338,23.55,32947,75.05,617,1.41,0,-0.52,
12133,12384,2347,18.95,9876,79.75,161,1.3,0,-0.61,
13001,8341,1779,21.33,6526,78.24,36,0.43,0,-0.57,
13003,3155,825,26.15,2300,72.9,30,0.95,0,-0.47,
13005,4668,625,13.39,4018,86.08,25,0.54,0,-0.73,
13007,1555,652,41.93,897,57.68,6,0.39,0,-0.16,
13009,18251,9140,50.08,8903,48.78,208,1.14,1,0.01,
13011,8801,932,10.59,7795,88.57,74,0.84,0,-0.78,
13013,37921,10453,27.57,26804,70.68,664,1.75,0,-0.43,
13015,50467,12092,23.96,37674,74.65,701,1.39,0,-0.51,
13017,6560,2392,36.46,4110,62.65,58,0.88,0,-0.26,
13019,7743,1269,16.39,6419,82.9,55,0.71,0,-0.67,
13021,70802,43468,61.39,26585,37.55,749,1.06,1,0.24,
13023,5706,1311,22.98,4328,75.85,67,1.17,0,-0.53,
13025,7746,699,9.02,6991,90.25,56,0.72,0,-0.81,
13027,7100,2790,39.3,4260,60,50,0.7,0,-0.21,
13029,21340,6739,31.58,14244,66.75,357,1.67,0,-0.35,
13031,30084,11243,37.37,18386,61.12,455,1.51,0,-0.24,
13033,10684,5209,48.76,5400,50.54,75,0.7,0,-0.02,
13035,11771,3274,27.81,8406,71.41,91,0.77,0,-0.44,
13037,2194,1260,57.43,923,42.07,11,0.5,1,0.15,
13039,23688,7967,33.63,15251,64.38,470,1.98,0,-0.31,
13043,4431,1269,28.64,3133,70.71,29,0.65,0,-0.42,
13045,54474,16238,29.81,37476,68.8,760,1.4,0,-0.39,
13047,32593,6932,21.27,25167,77.22,494,1.52,0,-0.56,
13049,4566,1103,24.16,3419,74.88,44,0.96,0,-0.51,
13051,133420,78254,58.65,53237,39.9,1929,1.45,1,0.19,
13053,1582,667,42.16,880,55.63,35,2.21,0,-0.13,
13055,10050,1854,18.45,8064,80.24,132,1.31,0,-0.62,
13057,144830,42794,29.55,99587,68.76,2449,1.69,0,-0.39,
13059,51333,36048,70.22,14446,28.14,839,1.63,1,0.42,
13061,1434,790,55.09,637,44.42,7,0.49,1,0.11,
13063,112344,95476,84.99,15813,14.08,1055,0.94,1,0.71,
13065,2864,747,26.08,2105,73.5,12,0.42,0,-0.47,
13067,393746,221846,56.34,165459,42.02,6441,1.64,1,0.14,
13069,15214,4511,29.65,10578,69.53,125,0.82,0,-0.4,
13071,16083,4187,26.03,11777,73.23,119,0.74,0,-0.47,
13073,80579,29236,36.28,50013,62.07,1330,1.65,0,-0.26,
13075,7035,2059,29.27,4900,69.65,76,1.08,0,-0.4,
13077,76799,24210,31.52,51501,67.06,1088,1.42,0,-0.36,
13079,6102,1615,26.47,4428,72.57,59,0.97,0,-0.46,
13081,8039,2986,37.14,4987,62.04,66,0.82,0,-0.25,
13083,7434,1261,16.96,6066,81.6,107,1.44,0,-0.65,
13085,16081,2486,15.46,13398,83.32,197,1.23,0,-0.68,
13087,11627,4780,41.11,6758,58.12,89,0.77,0,-0.17,
13089,370804,308227,83.12,58373,15.74,4204,1.13,1,0.67,
13091,8070,2171,26.9,5843,72.4,56,0.69,0,-0.46,
13093,4105,1911,46.55,2159,52.59,35,0.85,0,-0.06,
13095,35311,24577,69.6,10454,29.61,280,0.79,1,0.4,
13097,69097,42809,61.95,25451,36.83,837,1.21,1,0.25,
13099,5187,2437,46.98,2722,52.48,28,0.54,0,-0.06,
13101,1441,167,11.59,1256,87.16,18,1.25,0,-0.76,
13103,31570,7720,24.45,23358,73.99,492,1.56,0,-0.5,
13105,9171,2879,31.39,6226,67.89,66,0.72,0,-0.36,
13107,9501,2884,30.35,6551,68.95,66,0.69,0,-0.39,
13109,4247,1324,31.17,2888,68,35,0.82,0,-0.37,
13111,14850,2571,17.31,12169,81.95,110,0.74,0,-0.65,
13113,71993,33065,45.93,37952,52.72,976,1.36,0,-0.07,
13115,41648,12008,28.83,29123,69.93,517,1.24,0,-0.41,
13117,129305,42203,32.64,85122,65.83,1980,1.53,0,-0.33,
13119,10765,1593,14.8,9069,84.25,103,0.96,0,-0.69,
13121,524659,381144,72.65,137240,26.16,6275,1.2,1,0.46,
13123,16525,2932,17.74,13429,81.26,164,0.99,0,-0.64,
13125,1566,155,9.9,1403,89.59,8,0.51,0,-0.8,
13127,41984,15879,37.82,25616,61.01,489,1.16,0,-0.23,
13129,24033,4384,18.24,19405,80.74,244,1.02,0,-0.62,
13131,10707,3619,33.8,7034,65.7,54,0.5,0,-0.32,
13133,11247,4088,36.35,7068,62.84,91,0.81,0,-0.26,
13135,413865,241827,58.43,166413,40.21,5625,1.36,1,0.18,
13137,20432,3563,17.44,16637,81.43,232,1.14,0,-0.64,
13139,90523,25031,27.65,64170,70.89,1322,1.46,0,-0.43,
13141,4165,2985,71.67,1159,27.83,21,0.5,1,0.44,
13143,14248,1792,12.58,12331,86.55,125,0.88,0,-0.74,
13145,19991,5457,27.3,14319,71.63,215,1.08,0,-0.44,
13147,12727,3157,24.81,9464,74.36,106,0.83,0,-0.5,
13149,5391,824,15.28,4516,83.77,51,0.95,0,-0.68,
13151,122742,73276,59.7,48187,39.26,1279,1.04,1,0.2,
13153,74823,32232,43.08,41534,55.51,1057,1.41,0,-0.12,
13155,4168,1008,24.18,3134,75.19,26,0.62,0,-0.51,
13157,37670,7642,20.29,29497,78.3,531,1.41,0,-0.58,
13159,7644,1761,23.04,5822,76.16,61,0.8,0,-0.53,
13161,5771,1028,17.81,4695,81.36,48,0.83,0,-0.64,
13163,7642,4061,53.14,3537,46.28,44,0.58,1,0.07,
13165,3455,1266,36.64,2161,62.55,28,0.81,0,-0.26,
13167,4100,1222,29.8,2850,69.51,28,0.68,0,-0.4,
13169,14966,4888,32.66,9965,66.58,113,0.76,0,-0.34,
13171,9039,2615,28.93,6330,70.03,94,1.04,0,-0.41,
13173,3576,1019,28.5,2509,70.16,48,1.34,0,-0.42,
13175,22729,8073,35.52,14493,63.76,163,0.72,0,-0.28,
13177,16714,4558,27.27,12007,71.84,149,0.89,0,-0.45,
13179,21389,13099,61.24,7959,37.21,331,1.55,1,0.24,
13181,4650,1435,30.86,3179,68.37,36,0.77,0,-0.38,
13183,5656,2033,35.94,3528,62.38,95,1.68,0,-0.26,
13185,46355,20117,43.4,25691,55.42,547,1.18,0,-0.12,
13187,15531,3126,20.13,12163,78.31,242,1.56,0,-0.58,
13189,10455,4168,39.87,6169,59.01,118,1.13,0,-0.19,
13191,6696,2612,39.01,4016,59.98,68,1.02,0,-0.21,
13193,4662,2857,61.28,1783,38.25,22,0.47,1,0.23,
13195,14937,3411,22.84,11326,75.83,200,1.34,0,-0.53,
13197,3624,1311,36.18,2275,62.78,38,1.05,0,-0.27,
13199,10877,4287,39.41,6524,59.98,66,0.61,0,-0.21,
13201,2835,749,26.42,2066,72.87,20,0.71,0,-0.46,
13205,8963,3995,44.57,4935,55.06,33,0.37,0,-0.1,
13207,15592,4384,28.12,11060,70.93,148,0.95,0,-0.43,
13209,3966,979,24.68,2960,74.63,27,0.68,0,-0.5,
13211,11707,3355,28.66,8230,70.3,122,1.04,0,-0.42,
13213,15389,2302,14.96,12943,84.11,144,0.94,0,-0.69,
13215,80543,49529,61.49,30049,37.31,965,1.2,1,0.24,
13217,54239,29794,54.93,23869,44.01,576,1.06,1,0.11,
13219,25168,8162,32.43,16595,65.94,411,1.63,0,-0.34,
13221,8131,2436,29.96,5593,68.79,102,1.25,0,-0.39,
13223,85385,29704,34.79,54525,63.86,1156,1.35,0,-0.29,
13225,12545,5920,47.19,6502,51.83,123,0.98,0,-0.05,
13227,17116,2808,16.41,14075,82.23,233,1.36,0,-0.66,
13229,9048,1100,12.16,7899,87.3,49,0.54,0,-0.75,
13231,10720,1505,14.04,9127,85.14,88,0.82,0,-0.71,
13233,17399,3658,21.02,13589,78.1,152,0.87,0,-0.57,
13235,4059,1217,29.98,2805,69.11,37,0.91,0,-0.39,
13237,11855,3448,29.08,8291,69.94,116,0.98,0,-0.41,
13239,1106,497,44.94,604,54.61,5,0.45,0,-0.1,
13241,9568,1984,20.74,7474,78.11,110,1.15,0,-0.57,
13243,3074,1671,54.36,1391,45.25,12,0.39,1,0.09,
13245,87016,59124,67.95,26781,30.78,1111,1.28,1,0.37,
13247,44686,31244,69.92,13012,29.12,430,0.96,1,0.41,
13249,2275,462,20.31,1800,79.12,13,0.57,0,-0.59,
13251,6628,2661,40.15,3916,59.08,51,0.77,0,-0.19,
13253,3884,1254,32.29,2611,67.22,19,0.49,0,-0.35,
13255,30116,11784,39.13,18057,59.96,275,0.91,0,-0.21,
13257,11885,2385,20.07,9368,78.82,132,1.11,0,-0.59,
13259,1990,1182,59.4,801,40.25,7,0.35,1,0.19,
13261,12150,6318,52,5732,47.18,100,0.82,1,0.05,
13263,3522,2114,60.02,1392,39.52,16,0.45,1,0.2,
13265,928,561,60.45,360,38.79,7,0.75,1,0.22,
13267,8183,2061,25.19,6053,73.97,69,0.84,0,-0.49,
13269,3839,1387,36.13,2418,62.99,34,0.89,0,-0.27,
13271,4333,1487,34.32,2825,65.2,21,0.48,0,-0.31,
13273,4416,2376,53.8,2004,45.38,36,0.82,1,0.08,
13275,21853,8708,39.85,12954,59.28,191,0.87,0,-0.19,
13277,16283,5322,32.68,10784,66.23,177,1.09,0,-0.34,
13279,10914,2939,26.93,7872,72.13,103,0.94,0,-0.45,
13281,7979,1550,19.43,6384,80.01,45,0.56,0,-0.61,
13283,3077,952,30.94,2101,68.28,24,0.78,0,-0.37,
13285,30049,11578,38.53,18143,60.38,328,1.09,0,-0.22,
13287,3792,1410,37.18,2349,61.95,33,0.87,0,-0.25,
13289,4444,2044,45.99,2370,53.33,30,0.68,0,-0.07,
13291,15560,2801,18,12651,81.3,108,0.69,0,-0.63,
13293,12905,4201,32.55,8608,66.7,96,0.74,0,-0.34,
13295,29354,5769,19.65,23174,78.95,411,1.4,0,-0.59,
13297,51095,12682,24.82,37842,74.06,571,1.12,0,-0.49,
13299,14192,4211,29.67,9865,69.51,116,0.82,0,-0.4,
13301,2651,1469,55.41,1166,43.98,16,0.6,1,0.11,
13303,9459,4730,50.01,4663,49.3,66,0.7,1,0.01,
13305,12778,2687,21.03,9987,78.16,104,0.81,0,-0.57,
13307,1390,639,45.97,748,53.81,3,0.22,0,-0.08,
13309,2285,689,30.15,1583,69.28,13,0.57,0,-0.39,
13311,14816,2411,16.27,12222,82.49,183,1.24,0,-0.66,
13313,36746,10670,29.04,25636,69.77,440,1.2,0,-0.41,
13315,3281,862,26.27,2403,73.24,16,0.49,0,-0.47,
13317,5029,2160,42.95,2823,56.13,46,0.91,0,-0.13,
13319,4770,2075,43.5,2664,55.85,31,0.65,0,-0.12,
13321,9285,2395,25.79,6830,73.56,60,0.65,0,-0.48,
15001,87814,58731,66.88,26897,30.63,2186,2.49,1,0.36,
15003,382114,238869,62.51,136259,35.66,6986,1.83,1,0.27,
15007,33497,21225,63.36,11582,34.58,690,2.06,1,0.29,
15009,71044,47305,66.59,22126,31.14,1613,2.27,1,0.35,
16001,259389,120539,46.47,130699,50.39,8151,3.14,0,-0.04,
16003,2586,591,22.85,1941,75.06,54,2.09,0,-0.52,
16005,39553,14682,37.12,23331,58.99,1540,3.89,0,-0.22,
16007,3315,350,10.56,2914,87.9,51,1.54,0,-0.77,
16009,4973,977,19.65,3878,77.98,118,2.37,0,-0.58,
16011,19996,4124,20.62,15295,76.49,577,2.89,0,-0.56,
16013,13289,8919,67.12,4032,30.34,338,2.54,1,0.37,
16015,4820,1204,24.98,3485,72.3,131,2.72,0,-0.47,
16017,27335,8310,30.4,18369,67.2,656,2.4,0,-0.37,
16019,53995,14254,26.4,37805,70.02,1936,3.59,0,-0.44,
16021,6313,1220,19.33,4937,78.2,156,2.47,0,-0.59,
16023,1415,188,13.29,1202,84.95,25,1.77,0,-0.72,
16025,674,149,22.11,507,75.22,18,2.67,0,-0.53,
16027,90410,25881,28.63,61759,68.31,2770,3.06,0,-0.4,
16029,3416,431,12.62,2906,85.07,79,2.31,0,-0.72,
16031,9629,1464,15.2,7907,82.12,258,2.68,0,-0.67,
16033,311,41,13.18,264,84.89,6,1.93,0,-0.72,
16035,4419,877,19.85,3453,78.14,89,2.01,0,-0.58,
16037,2739,603,22.02,2089,76.27,47,1.72,0,-0.54,
16039,10205,2601,25.49,7246,71,358,3.51,0,-0.46,
16041,6664,657,9.86,5845,87.71,162,2.43,0,-0.78,
16043,6719,998,14.85,5548,82.57,173,2.57,0,-0.68,
16045,9958,1803,18.11,7951,79.85,204,2.05,0,-0.62,
16047,6050,1256,20.76,4659,77.01,135,2.23,0,-0.56,
16049,9602,1561,16.26,7826,81.5,215,2.24,0,-0.65,
16051,14173,1661,11.72,12099,85.37,413,2.91,0,-0.74,
16053,7812,1893,24.23,5734,73.4,185,2.37,0,-0.49,
16055,89467,24312,27.17,62837,70.23,2318,2.59,0,-0.43,
16057,20570,10236,49.76,9472,46.05,862,4.19,1,0.04,
16059,4738,1032,21.78,3592,75.81,114,2.41,0,-0.54,
16061,1870,349,18.66,1489,79.63,32,1.71,0,-0.61,
16063,1940,414,21.34,1469,75.72,57,2.94,0,-0.54,
16065,17112,2666,15.58,13559,79.24,887,5.18,0,-0.64,
16067,7993,1550,19.39,6265,78.38,178,2.23,0,-0.59,
16069,20967,6686,31.89,13738,65.52,543,2.59,0,-0.34,
16071,2451,249,10.16,2148,87.64,54,2.2,0,-0.77,
16073,4742,816,17.21,3819,80.54,107,2.26,0,-0.63,
16075,11293,2161,19.14,8862,78.47,270,2.39,0,-0.59,
16077,3074,865,28.14,2116,68.84,93,3.03,0,-0.41,
16079,6049,1693,27.99,4216,69.7,140,2.31,0,-0.42,
16081,6347,3318,52.28,2858,45.03,171,2.69,1,0.07,
16083,36501,9391,25.73,25897,70.95,1213,3.32,0,-0.45,
16085,7063,2976,42.14,3947,55.88,140,1.98,0,-0.14,
16087,5344,1073,20.08,4154,77.73,117,2.19,0,-0.58,
17001,33527,8633,25.75,24220,72.24,674,2.01,0,-0.46,
17003,2618,1114,42.55,1486,56.76,18,0.69,0,-0.14,
17005,8231,2288,27.8,5625,68.34,318,3.86,0,-0.41,
17007,25176,10542,41.87,13883,55.14,751,2.98,0,-0.13,
17009,2545,486,19.1,1931,75.87,128,5.03,0,-0.57,
17011,17609,6669,37.87,10411,59.12,529,3,0,-0.21,
17013,2772,677,24.42,2046,73.81,49,1.77,0,-0.49,
17015,8096,2748,33.94,5105,63.06,243,3,0,-0.29,
17017,5358,1615,30.14,3625,67.66,118,2.2,0,-0.38,
17019,96185,57067,59.33,35285,36.68,3833,3.99,1,0.23,
17021,16331,4335,26.54,11563,70.8,433,2.65,0,-0.44,
17023,8406,1993,23.71,6226,74.07,187,2.22,0,-0.5,
17025,6886,1129,16.4,5629,81.75,128,1.86,0,-0.65,
17027,19317,4493,23.26,14304,74.05,520,2.69,0,-0.51,
17029,22778,8067,35.42,14037,61.63,674,2.96,0,-0.26,
17031,2349010,1725973,73.48,558269,23.77,64768,2.76,1,0.5,
17033,9497,2202,23.19,7043,74.16,252,2.65,0,-0.51,
17035,5880,1142,19.42,4601,78.25,137,2.33,0,-0.59,
17037,47819,24643,51.53,21905,45.81,1271,2.66,1,0.06,
17039,8083,2191,27.11,5632,69.68,260,3.22,0,-0.43,
17041,8808,2335,26.51,6227,70.7,246,2.79,0,-0.44,
17043,491067,281222,57.27,193611,39.43,16234,3.31,1,0.18,
17045,8251,1887,22.87,6193,75.06,171,2.07,0,-0.52,
17047,3366,488,14.5,2833,84.17,45,1.34,0,-0.7,
17049,19049,3716,19.51,15006,78.78,327,1.72,0,-0.59,
17051,10169,1826,17.96,8055,79.21,288,2.83,0,-0.61,
17053,7007,1754,25.03,5048,72.04,205,2.93,0,-0.47,
17055,18790,4760,25.33,13622,72.5,408,2.17,0,-0.47,
17057,16813,6503,38.68,9867,58.69,443,2.63,0,-0.2,
17059,2674,622,23.26,2019,75.5,33,1.23,0,-0.52,
17061,6299,1349,21.42,4770,75.73,180,2.86,0,-0.54,
17063,26894,9626,35.79,16523,61.44,745,2.77,0,-0.26,
